Created,10/6/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,4/10/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State, Written Signed Complaints Total (1),WSC With Reports Issued Total (1.1),WSC Reports with Finding (1.1a),WSC Reports with Timelines (1.1b),WSC Reports with Extended Timelines (1.1c),WSC Withdrawn or Dismissed Total (1.2),WSC Pending Total (1.3), WSC Pending a due Process Hearing (1.3a), Mediation Requests total (2), Mediations Total (2.1), Mediations Related to due Process (2.1a), Mediations Related to due process - Agreements (2.1ai), Mediations not Related to due Process (2.1b), Mediations not Related to due process - Agreements (2.1bi), Mediations not Held (including pending) Total (2.2),Hearing Requests Total (3),HR - Resolution Sessions Total (3.1), HR - Resolutions - Settlement Agreements (3.1a),Hearings (fully adjudicated) Total (3.2),"Hearings - Decisions w/i Timeline 
(3.2a)","Hearings - Decisions w/i Extended Timeline 
(3.2b)",HR - Resolved without a Hearing Total (3.3),Expedited Hearing Requests Total (4),EHR - Resolution Sessions Total (4.1),Resolution Sessions - Settlement Agreements (4.1a),EHR - Expedited Hearings (fully adjudicated) Total ,EHR - Expedited Hearings - Change of Placement Ordered (4.2a)
2007,Alabama                                      ,29,24,11,23,1,5,0,0,78,30,9,7,21,13,48,99,67,17,5,0,5,68,0,0,0,0,0
2007,Alaska                                       ,5,5,3,5,0,0,0,0,12,12,2,2,10,7,0,21,15,3,6,0,6,13,0,0,0,0,0
2007,American Samoa                               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Arizona                                      ,150,121,47,114,5,29,0,0,33,24,9,8,15,9,9,51,22,15,2,0,2,27,1,0,0,0,0
2007,Arkansas                                     ,12,9,7,9,0,3,0,0,22,16,1,0,15,12,6,6,6,6,0,0,0,6,0,0,0,0,0
2007,BIE schools                                  ,2,1,1,1,0,0,1,1,2,1,1,0,0,0,1,5,1,1,1,0,0,2,0,0,0,0,0
2007,California                                   ,"1,034",864,864,861,3,170,0,0,"2,624","1,034",931,680,103,90,"1,590","2,398","1,289",520,67,16,51,624,25,14,9,0,0
2007,Colorado                                     ,12,12,7,9,3,0,0,0,40,24,8,5,16,14,16,21,11,6,4,1,3,15,2,2,2,0,0
2007,Connecticut                                  ,150,112,80,106,6,38,0,0,258,221,74,58,147,98,37,206,9,2,21,7,14,185,7,0,0,1,0
2007,Delaware                                     ,13,8,8,4,4,5,0,0,14,14,3,2,11,10,0,16,1,0,2,0,2,13,0,0,0,0,0
2007,District of Columbia                         ,7,5,3,0,0,2,0,0,11,11,3,1,8,1,0,"3,261",153,0,"1,319",150,24,"1,040",20,2,0,0,0
2007,Florida                                      ,109,58,48,42,16,45,6,3,184,70,31,19,39,32,114,158,84,58,5,0,5,111,21,12,8,0,0
2007,Georgia                                      ,44,37,19,28,2,7,0,0,94,73,32,14,41,29,21,139,62,31,3,0,2,105,11,3,2,0,0
2007,Guam                                         ,5,5,5,5,0,0,0,0,1,1,0,0,1,1,0,2,2,2,0,0,0,2,0,0,0,0,0
2007,Hawaii                                       ,23,21,12,20,1,0,2,1,9,7,1,1,6,5,2,111,105,42,18,0,18,43,0,0,0,0,0
2007,Idaho                                        ,23,16,15,14,1,7,0,0,6,6,3,3,3,3,0,13,7,6,1,0,1,12,0,0,0,0,0
2007,Illinois                                     ,113,60,46,36,24,40,13,0,226,183,119,83,64,44,43,360,65,22,27,2,23,229,3,1,1,0,0
2007,Indiana                                      ,136,125,106,110,15,11,0,0,46,40,3,0,37,22,6,70,58,38,6,1,4,64,6,2,2,0,0
2007,Iowa                                         ,6,1,1,0,1,5,0,0,32,18,1,1,17,15,14,6,5,5,0,0,0,5,0,0,0,0,0
2007,Kansas                                       ,36,26,15,26,0,10,0,0,28,26,12,8,14,11,2,33,19,8,2,0,2,25,4,3,2,0,0
2007,Kentucky                                     ,19,10,7,3,7,9,0,0,27,21,6,5,15,14,6,18,7,3,0,0,0,16,0,0,0,0,0
2007,Louisiana                                    ,23,13,7,10,0,9,1,0,17,15,13,11,2,2,2,38,16,10,2,1,1,34,2,1,1,0,0
2007,Maine                                        ,35,13,9,4,9,22,0,0,92,42,11,7,31,28,50,35,5,3,7,0,7,28,4,0,0,0,0
2007,Maryland                                     ,86,78,62,76,2,8,0,0,318,182,108,73,74,59,136,324,94,61,28,14,14,296,6,2,1,0,0
2007,Massachusetts                                ,369,234,161,177,37,100,35,27,906,906,46,35,860,725,0,618,418,15,18,2,15,600,54,48,0,2,1
2007,Michigan                                     ,280,243,154,196,47,28,9,8,125,92,0,0,92,74,33,88,70,45,4,0,3,57,20,18,15,1,0
2007,Minnesota                                    ,89,54,43,41,13,35,0,0,66,46,1,1,45,40,20,31,18,2,1,0,1,23,0,0,0,0,0
2007,Mississippi                                  ,6,4,4,4,0,2,0,0,24,14,7,6,7,5,10,29,16,16,3,1,2,26,0,0,0,0,0
2007,Missouri                                     ,77,63,13,57,6,12,2,2,18,17,4,1,13,10,1,95,41,20,1,1,0,56,6,2,2,1,0
2007,Montana                                      ,4,1,1,1,0,3,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
2007,Nebraska                                     ,4,2,2,1,1,2,0,0,11,8,0,0,8,5,3,3,0,0,1,0,1,2,0,0,0,0,0
2007,Nevada                                       ,8,5,3,4,1,1,2,0,7,4,1,1,3,3,3,48,44,21,1,0,1,44,0,0,0,0,0
2007,New Hampshire                                ,62,35,20,14,21,20,7,0,13,13,13,13,0,0,0,84,19,19,16,12,4,0,0,0,0,0,0
2007,New Jersey                                   ,284,155,64,137,9,102,27,0,627,512,279,88,233,101,115,902,96,48,88,55,25,813,16,3,2,1,1
2007,New Mexico                                   ,43,17,10,13,4,26,0,0,13,8,6,4,2,2,5,19,1,0,3,0,3,16,2,0,0,0,0
2007,New York                                     ,380,339,219,321,7,41,0,0,427,257,17,12,240,219,170,"6,075","4,677",539,550,130,315,"4,633",24,23,5,12,7
2007,North Carolina                               ,115,85,60,80,1,30,0,0,105,59,15,7,44,33,46,56,36,20,6,3,3,37,3,0,0,1,0
2007,North Dakota                                 ,4,3,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,Northern Marianas                            ,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Ohio                                         ,202,78,48,48,30,124,0,0,205,191,71,32,120,70,14,157,49,39,10,0,10,147,28,7,6,2,1
2007,Oklahoma                                     ,71,66,34,33,33,3,2,2,30,15,3,2,12,6,15,29,23,17,2,0,2,27,3,3,3,0,0
2007,Oregon                                       ,55,31,21,15,15,20,4,0,86,40,11,8,29,24,46,28,10,6,0,0,0,22,0,0,0,0,0
2007,Pennsylvania                                 ,308,171,123,170,1,125,12,12,315,176,29,20,147,116,139,790,264,138,75,12,54,614,21,10,10,1,0
2007,Puerto Rico                                  ,81,68,31,63,0,13,0,0,861,666,547,376,119,90,195,"1,700",607,365,833,417,0,770,1,0,0,1,0
2007,Rhode Island                                 ,70,62,62,37,0,7,1,0,120,98,0,0,98,82,22,34,23,9,1,1,0,27,1,1,0,0,0
2007,South Carolina                               ,53,39,33,38,1,14,0,0,3,3,0,0,3,3,0,24,19,10,5,5,0,19,2,1,1,0,0
2007,South Dakota                                 ,19,16,16,15,1,3,0,0,5,5,0,0,5,3,0,2,1,1,0,0,0,2,0,0,0,0,0
2007,Tennessee                                    ,127,115,15,103,12,1,11,9,26,23,11,7,12,10,3,59,36,6,1,0,1,47,0,0,0,0,0
2007,Texas                                        ,425,171,103,158,13,234,20,19,302,194,117,92,77,60,108,300,111,32,32,3,29,244,11,7,1,3,1
2007,Utah                                         ,10,10,5,8,0,0,0,0,8,6,1,1,5,1,2,4,4,1,0,0,0,4,0,0,0,0,0
2007,Vermont                                      ,21,14,9,14,0,7,0,0,30,27,15,12,12,12,3,23,6,2,1,0,1,18,0,0,0,0,0
2007,Virgin Islands                               ,6,5,5,5,0,1,0,0,6,4,4,4,0,0,2,7,2,1,1,1,0,4,0,0,0,0,0
2007,Virginia                                     ,138,103,45,84,19,35,0,0,138,111,24,18,87,71,27,87,53,16,16,14,2,62,11,11,1,3,0
2007,Washington                                   ,58,49,37,41,8,9,0,0,67,28,6,4,22,18,39,124,81,34,15,6,8,100,8,6,2,2,0
