Created,10/7/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised,4/13/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State," Written Signed Complaints Total
 (1)","WSC With Reports Issued Total 
(1.1)",WSC Reports with Finding (1.1a),WSC Reports with Timelines (1.1b),WSC Reports with Extended Timelines (1.1c),"WSC Complaints Pending Total
 (1.2)"," WSC Complaints Pending a due Process Hearing 
(1.2a)","WSC Complaints Withdrawn or Dismissed Total 
(1.3)", Mediation Requests total (2)," Mediations Total
 (2.1)"," Mediations Related to due Process 
(2.1a)", Mediation Agreements Related to due process - Complaints (2.1ai)," Mediations not Related to due Process - Complaints
 (2.1b)", Mediation Agreements not Related to due process - complaints (2.1bi), Mediations not Held (including pending) Total (2.2),Hearing Requests Total (3),HR - Resolution Sessions Total (3.1), HR - Resolutions - Settlement Agreements (3.1a),"Hearings (fully adjudicated) Total 
(3.2)","Hearings - Decisions w/i Timeline 
(3.2a)","Hearings - Decisions w/i Extended Timeline 
(3.2b)",HR - Resolved without a Hearing Total (3.3),Expedited Hearing Requests Total (4),EHR - Resolution Sessions Total (4.1),Resolution Sessions - Settlement Agreements (4.1a),"EHR - Expedited Hearings (fully adjudicated) Total 
(4.2)","EHR - Expedited Hearings - Change of Placement Ordered
 (4.2a)"
2008,Alabama                                                     ,64,48,24,47,1,0,0,16,67,31,11,10,20,17,36,101,52,39,5,1,4,65,0,0,0,0,0
2008,Alaska                                                      ,15,15,9,15,0,0,0,0,4,4,0,0,4,3,0,24,13,1,7,0,3,13,0,0,0,0,0
2008,Arizona                                                     ,126,94,51,94,0,0,0,32,51,37,15,11,22,15,14,67,31,26,3,2,1,57,2,0,0,0,0
2008,Arkansas                                                    ,22,16,14,16,0,0,0,6,22,12,0,0,12,11,10,26,24,21,2,1,0,23,1,1,1,0,0
2008,American Samoa                                              ,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BIE schools                                                 ,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,3,2,0,0,0,3,0,0,0,0,0
2008,California                                                  ,838,679,679,665,14,0,0,159,"2,706","1,585","1,406",852,179,100,"1,121","2,709",530,140,104,12,84,"2,332",42,3,0,3,0
2008,Colorado                                                    ,13,11,8,7,4,0,0,2,42,26,7,4,19,11,16,25,11,5,3,3,0,17,2,1,1,0,0
2008,Connecticut                                                 ,153,93,69,78,6,5,2,55,268,198,77,57,121,89,70,241,72,50,7,1,6,221,3,0,0,0,0
2008,Delaware                                                    ,8,8,4,6,1,0,0,0,6,3,1,0,2,2,3,16,0,0,2,0,0,14,2,0,0,0,0
