Created,9/6/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,8/27/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised (F),11/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total
 (1)","WSC with Reports Issued Total 
(1.1)",WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),"WSC Pending Total
 (1.2)","WSC Pending a Due Process Hearing 
(1.2a)","WSC Withdrawn or Dismissed
(1.3)",Mediation Requests Total (2),"Mediations Held Total
 (2.1)","Mediations Held Related to Due Process Complaints
(2.1a)",Mediation Agreements Related to Due Process Complaints (2.1ai),"Mediations Held Not Related to Due Process Complaints
 (2.1b)",Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),"DPC Hearings (fully adjudicated) Total 
(3.2)","DPC Written Decisions within Timeline 
(3.2a)","DPC Written Decisions within Extended Timelines 
(3.2b)",DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),"EDPC Expedited Hearings (fully adjudicated) Total 
(4.2)","EDPC Expedited Hearings - Change of Placement Ordered
 (4.2a)",EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2009,Alabama                                                     ,45,32,16,32,0,0,0,13,75,41,12,9,29,25,2,32,89,55,33,2,1,1,21,66,0,0,0,0,0,0,0
2009,Alaska                                                      ,15,13,6,13,0,0,0,2,6,5,0,0,5,5,0,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0
2009,American Samoa                                              ,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,Arizona                                                     ,94,74,47,74,0,0,0,20,52,42,9,7,33,29,0,10,56,38,17,7,4,3,10,39,4,3,1,1,0,0,3
2009,Arkansas                                                    ,27,13,12,12,1,1,0,13,26,17,0,0,17,15,0,9,24,10,10,4,4,0,5,15,0,0,0,0,0,0,0
2009,BIE schools                                                 ,2,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,California                                                  ,811,550,550,512,38,261,0,0,"2,654","1,437","1,285",766,152,101,364,853,"2,680",493,248,95,19,75,635,"1,950",51,11,         -,2,0,9,40
2009,Colorado                                                    ,17,12,7,8,3,0,0,5,39,33,6,6,27,15,2,4,20,8,5,4,2,2,1,15,5,1,0,1,1,0,4
2009,Connecticut                                                 ,161,97,65,91,4,5,0,59,270,195,65,35,130,95,42,33,207,78,62,9,3,5,55,143,9,3,0,1,0,1,7
2009,Delaware                                                    ,15,10,7,7,2,0,0,5,10,6,6,0,0,0,0,4,20,4,1,4,3,0,1,15,1,0,0,0,0,0,1
2009,District of Columbia                                        ,12,7,6,4,2,2,0,3,22,5,3,2,2,1,2,15,"1,426","1,397",679,282,184,92,3,"1,141",25,20,13,7,1,0,18
2009,Florida                                                     ,101,61,34,58,3,3,1,37,83,53,21,12,32,23,2,28,133,72,46,8,5,3,27,98,23,8,3,1,0,3,19
2009,Georgia                                                     ,82,63,34,61,2,0,0,19,84,61,10,6,51,36,0,23,78,44,23,3,0,3,6,69,0,0,0,0,0,0,0
2009,Guam                                                        ,40,27,22,27,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2009,Hawaii                                                      ,14,13,4,9,4,1,1,0,7,5,2,0,3,1,1,1,148,139,50,42,9,33,29,77,1,0,0,0,0,0,1
2009,Idaho                                                       ,27,22,16,14,1,0,0,5,10,7,0,0,7,7,0,3,10,2,1,1,0,1,0,9,2,1,1,0,0,0,2
2009,Illinois                                                    ,120,92,70,83,9,0,0,28,164,134,96,70,38,34,13,17,331,89,39,22,5,1,93,216,7,4,3,2,1,0,5
2009,Indiana                                                     ,102,74,60,64,10,0,0,28,44,36,5,3,31,22,0,8,71,58,38,5,0,4,4,62,1,0,0,0,0,0,1
2009,Iowa                                                        ,13,7,5,1,6,2,0,4,31,21,7,4,14,12,1,9,11,0,0,1,0,1,3,7,0,0,0,0,0,0,0
2009,Kansas                                                      ,30,18,11,0,0,0,0,12,20,17,2,0,15,14,0,3,12,5,3,1,1,0,0,11,2,0,0,1,0,0,1
2009,Kentucky                                                    ,30,15,11,14,1,0,0,15,19,17,3,3,14,11,0,2,27,21,6,1,0,1,12,14,0,0,0,0,0,0,0
2009,Louisiana                                                   ,25,10,8,5,5,2,0,13,7,6,5,3,1,1,0,1,23,12,8,5,3,2,1,17,1,1,1,0,0,0,1
2009,Maine                                                       ,53,11,6,6,5,0,0,42,113,57,19,13,38,31,0,56,42,8,2,0,0,0,3,39,2,0,0,0,0,0,2
2009,Maryland                                                    ,118,101,79,98,3,1,1,16,262,136,52,37,84,64,11,115,251,111,78,20,4,16,10,221,4,1,0,0,0,0,4
2009,Massachusetts                                               ,240,158,113,151,7,18,17,64,958,854,39,35,815,706,27,77,545,38,21,18,4,13,228,299,41,1,1,3,1,16,22
2009,Michigan                                                    ,204,133,79,117,15,1,0,70,145,84,1,1,83,70,18,43,65,54,25,5,3,2,17,43,18,17,10,3,0,0,15
2009,Minnesota                                                   ,65,44,33,34,10,0,0,21,76,47,0,0,47,43,0,29,26,24,0,3,0,3,10,13,1,1,0,0,0,0,1
2009,Mississippi                                                 ,13,5,0,5,0,0,0,8,20,15,6,4,9,3,0,5,15,15,6,4,2,2,0,11,0,0,0,0,0,0,0
2009,Missouri                                                    ,106,87,37,84,3,4,3,15,41,30,4,1,26,26,5,6,60,29,16,2,1,1,13,45,5,3,2,1,1,0,4
2009,Montana                                                     ,6,4,0,4,0,0,0,2,4,2,2,2,0,0,1,1,8,3,0,0,0,0,6,2,0,0,0,0,0,0,0
2009,Nebraska                                                    ,4,3,2,3,0,0,0,1,4,4,1,0,3,2,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2009,Nevada                                                      ,10,7,4,6,1,3,0,0,9,6,3,2,3,2,1,2,59,55,21,1,1,0,15,43,6,6,5,0,0,1,5
2009,New Hampshire                                               ,103,63,32,32,6,3,3,37,30,22,7,6,15,12,4,4,56,13,9,6,5,1,10,40,0,0,0,0,0,0,0
2009,New Jersey                                                  ,253,105,43,82,8,53,15,95,672,530,302,65,228,103,17,125,814,35,20,54,36,18,158,602,11,0,0,1,0,0,10
2009,New Mexico                                                  ,23,13,7,12,1,0,0,10,34,31,20,17,11,8,2,1,39,7,7,3,0,3,6,30,2,0,0,0,0,0,2
2009,New York                                                    ,306,217,166,201,15,1,0,88,257,154,13,13,141,123,6,97,"6,078","5,277",541,425,94,261,928,"4,725",25,20,2,6,1,2,17
2009,North Carolina                                              ,75,51,42,44,6,0,0,24,64,39,12,7,27,21,3,22,54,35,22,2,1,1,13,39,3,3,2,1,0,0,2
2009,North Dakota                                                ,3,2,2,2,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Northern Marianas                                           ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ohio                                                        ,252,96,48,80,16,28,1,128,109,94,43,30,51,47,5,10,146,66,35,2,0,2,28,116,21,13,13,0,0,1,20
2009,Oklahoma                                                    ,32,25,17,25,0,0,0,7,20,15,0,0,15,10,0,5,38,30,22,2,2,0,1,35,0,0,0,0,0,0,0
2009,Oregon                                                      ,40,17,10,11,6,1,0,22,74,37,13,12,24,21,12,25,33,2,0,3,1,2,9,21,3,1,0,1,0,0,2
2009,Pennsylvania                                                ,304,126,78,120,0,7,7,171,412,193,78,20,115,112,56,163,782,335,235,66,21,45,213,503,28,8,6,3,1,2,23
2009,Puerto Rico                                                 ,77,64,40,62,2,0,0,13,537,411,362,258,49,46,14,112,"2,068",831,515,"1,152",707,90,71,845,0,0,0,0,0,0,0
2009,Rhode Island                                                ,39,30,16,15,1,0,0,9,62,53,0,0,53,37,0,9,23,1,1,2,0,2,2,19,3,0,0,0,0,0,3
2009,South Carolina                                              ,40,27,23,27,0,0,0,13,5,2,0,0,2,2,0,3,13,10,6,3,2,1,0,10,2,2,2,0,0,0,2
2009,South Dakota                                                ,6,3,2,3,0,0,0,3,8,8,2,2,6,6,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2009,Tennessee                                                   ,99,60,18,57,3,34,5,5,36,21,11,7,10,9,7,8,42,16,9,1,0,1,17,24,0,0,0,0,0,0,0
2009,Texas                                                       ,327,138,62,135,3,9,9,180,349,200,132,104,68,51,81,68,331,134,43,25,7,18,64,242,8,3,0,3,2,0,5
2009,Utah                                                        ,7,6,4,6,0,0,0,1,4,1,0,0,1,1,0,3,7,7,7,0,0,0,0,7,0,0,0,0,0,0,0
2009,Vermont                                                     ,22,13,6,11,2,6,0,3,42,32,13,12,19,16,5,5,18,3,2,2,2,0,1,15,0,0,0,0,0,0,0
2009,Virgin Islands                                              ,8,7,7,7,0,0,0,1,6,5,5,0,0,0,0,1,21,7,7,6,4,2,1,14,0,0,0,0,0,0,0
2009,Virginia                                                    ,132,99,60,91,8,0,0,33,119,76,20,9,56,47,21,22,79,50,19,12,11,1,7,60,10,3,0,1,0,0,9
2009,Washington                                                  ,35,28,23,25,3,1,1,6,57,24,8,7,16,13,4,29,108,70,27,5,1,4,15,88,5,4,2,1,0,0,4
2009,West Virginia                                               ,39,17,12,12,2,0,0,22,10,7,1,0,6,6,0,3,12,8,8,2,0,2,0,10,0,0,0,0,0,0,0
2009,Wisconsin                                                   ,82,67,49,66,1,1,1,14,70,46,7,4,39,38,1,23,20,3,2,4,0,4,2,14,0,0,0,0,0,0,0
2009,Wyoming                                                     ,14,11,8,9,2,0,0,3,4,4,0,0,4,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2009,"50 states, D.C., and P.R (including BIE schools)            ","4,872","3,015","2,090","2,698",221,448,65,"1,409","8,233","5,374","2,708","1,594","2,666","2,125",731,"2,128","17,205","9,797","2,968","2,322","1,150",720,"2,755","12,128",330,138,67,40,9,35,255
2009,U.S. and Outlying Areas                                     ,"4,922","3,051","2,121","2,733",222,448,65,"1,423","8,240","5,380","2,714","1,595","2,666","2,125",731,"2,129","17,228","9,806","2,975","2,329","1,154",723,"2,757","12,142",330,138,67,40,9,35,255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
