Created,7/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised (F),11/19/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total
 (1)","WSC with Reports Issued Total 
(1.1)",WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),"WSC Pending Total 
 (1.2)","WSC Pending a Due Process Hearing 
(1.2a)","WSC Withdrawn or Dismissed
(1.3)",Mediation Requests Total (2),"Mediations Held Total
 (2.1)","Mediations Held Related to Due Process Complaints
(2.1a)",Mediation Agreements Related to Due Process Complaints (2.1ai),"Mediations Held Not Related to Due Process Complaints
 (2.1b)",Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),"DPC Hearings (fully adjudicated) Total 
(3.2)","DPC Written Decisions within Timeline 
(3.2a)","DPC Written Decisions within Extended Timelines 
(3.2b)",DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),"EDPC Expedited Hearings (fully adjudicated) Total 
(4.2)","EDPC Expedited Hearings - Change of Placement Ordered
 (4.2a)",EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2010,Alabama                                                     ,28,21,14,21,0,0,0,7,56,26,7,5,19,17,0,30,122,70,12,3,1,2,38,81,2,2,0,2,1,0,0
2010,Alaska                                                      ,7,6,3,6,0,0,0,1,10,9,1,0,8,7,1,0,6,6,1,3,1,2,1,2,0,0,0,0,0,0,0
2010,American Samoa                                              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Arizona                                                     ,101,81,53,81,0,1,1,19,60,29,6,3,23,17,4,27,56,34,19,6,2,4,8,42,4,4,3,1,0,0,3
2010,Arkansas                                                    ,49,23,19,20,3,0,0,26,12,10,1,1,9,9,0,2,30,30,23,4,0,4,0,26,0,0,0,0,0,0,0
2010,Bur. of Indian Education                                    ,3,3,2,0,0,0,0,0,4,4,1,1,3,3,0,0,4,1,1,0,0,0,0,4,0,0,0,0,0,0,0
2010,California                                                  ,1023,755,504,743,12,0,0,268,2931,1598,1449,990,149,85,298,1035,2747,578,158,105,7,98,627,2015,77,10,2,4,1,2,71
2010,Colorado                                                    ,14,11,6,11,0,0,0,3,48,34,8,5,26,19,3,11,19,5,4,1,0,1,0,18,3,1,1,0,0,0,3
2010,Connecticut                                                 ,188,101,65,93,4,6,1,81,295,230,95,56,135,94,39,26,222,64,46,15,4,11,48,159,6,2,2,1,1,1,4
2010,Delaware                                                    ,6,3,2,3,0,1,0,2,11,8,3,2,5,4,1,2,7,0,0,0,0,0,0,7,1,0,0,0,0,0,1
2010,District of Columbia                                        ,23,14,12,14,0,0,0,9,25,19,4,3,15,15,1,5,1527,1111,380,274,243,27,70,1183,61,44,17,10,1,2,49
