Extraction Date:,3/19/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total

 (1)","WSC with Reports Issued Total 

(1.1)",WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),"WSC Pending Total 

 (1.2)","WSC Pending a Due Process Hearing 

(1.2a)","WSC Withdrawn or Dismissed

(1.3)",Mediation Requests Total (2),"Mediations Held Total

 (2.1)","Mediations Held Related to Due Process Complaints

(2.1a)",Mediation Agreements Related to Due Process Complaints (2.1ai),"Mediations Held Not Related to Due Process Complaints

 (2.1b)",Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),"DPC Hearings (fully adjudicated) Total 

(3.2)","DPC Written Decisions within Timeline 

(3.2a)","DPC Written Decisions within Extended Timelines 

(3.2b)",DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),"EDPC Expedited Hearings (fully adjudicated) Total 

(4.2)","EDPC Expedited Hearings - Change of Placement Ordered

 (4.2a)",EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2011-2012,Alabama,19,10,7,8,2,3,1,6,92,53,38,19,15,15,0,39,144,68,11,3,0,3,43,98,0,0,0,0,0,0,0
2011-2012,Alaska,9,9,4,9,0,0,0,0,8,7,1,1,6,4,0,1,9,7,1,3,1,2,1,5,1,1,0,1,1,0,0
2011-2012,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Arizona,95,75,48,75,0,1,1,19,58,35,10,9,25,20,4,19,58,29,13,6,0,5,15,37,0,0,0,0,0,0,0
2011-2012,Arkansas,37,23,19,16,7,0,0,14,15,11,0,0,11,8,0,4,19,19,15,1,1,0,2,16,1,1,0,0,0,0,1
2011-2012,Bureau of Indian Education,1,1,0,0,0,0,0,0,5,4,4,3,0,0,1,0, - , - , - , - , - , - , - , - ,0,0,0,0,0,0,0
2011-2012,California,1039,780,780,765,15,0,0,259,3076,1807,1677,1051,130,90,424,845,3114,457,56,114,8,105,200,2800,62,8,2,6,0,0,56
2011-2012,Colorado,12,6,6,5,1,0,0,6,36,22,6,5,16,13,2,12,21,9,5,0,0,0,2,19,1,0,0,0,0,0,1
2011-2012,Connecticut,163,102,69,83,9,7,1,54,287,198,75,49,123,81,46,43,194,41,23,16,4,12,40,138,7,1,0,3,3,0,4
2011-2012,Delaware,14,10,7,8,2,0,0,4,10,6,1,1,5,4,0,4,12,2,2,1,1,0,0,11,1,0,0,0,0,0,1
2011-2012,District of Columbia,34,28,21,25,3,0,0,6,27,20,4,2,16,12,0,7,1009,773,208,268,222,46,1,740,64,43,16,16,1,0,48
2011-2012,Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-2012,Florida,101,50,20,44,6,2,2,49,89,67,30,18,37,25,4,18,171,51,27,6,4,2,36,129,13,5,2,1,1,1,11
