Extraction Date:,5/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State,"Written, Signed Complaints (WSC) Total (1)",WSC with Reports Issued Total (1.1),WSC Reports with Findings (1.1a),WSC Reports within Timeline (1.1b),WSC Reports within Extended Timelines (1.1c),WSC Pending Total  (1.2),WSC Pending a Due Process Hearing (1.2a),WSC Withdrawn or Dismissed(1.3),Mediation Requests Total (2),Mediations Held Total (2.1),Mediations Held Related to Due Process Complaints(2.1a),Mediation Agreements Related to Due Process Complaints (2.1ai),Mediations Held Not Related to Due Process Complaints (2.1b),Mediation Agreements Not Related to Due Process Complaints (2.1bi),Mediations Pending (2.2),Mediations Withdrawn or Not Held (2.3),Due Process Complaints (DPC) Total (3),DPC Resolution Meetings Total (3.1),DPC Resolution Meetings - Written Settlement Agreements (3.1a),DPC Hearings (fully adjudicated) Total (3.2),DPC Written Decisions within Timeline (3.2a),DPC Written Decisions within Extended Timelines (3.2b),DPC Pending (3.3),DPC Withdrawn or Dismissed (3.4),Expedited Due Process Complaints (EDPC) Total (4),EDPC Resulted in a Resolution Meeting Total (4.1),EDPC Resolution Meetings - Written Settlement Agreements (4.1a),EDPC Expedited Hearings (fully adjudicated) Total (4.2),EDPC Expedited Hearings - Change of Placement Ordered (4.2a),EDPC Pending (4.3),EDPC Withdrawn or Dismissed (4.4)
2015-2016, Alabama,11,5,2,4,1,0,0,6,150,62,24,23,38,29,35,53,172,91,31,2,1,1,30,140,1,1,1,0,0,0,1
2015-2016, Alaska,6,4,4,0,0,0,0,2,5,5,0,0,5,5,0,0,6,6,0,1,0,1,1,4,1,1,0,0,0,0,1
2015-2016, American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016, Arizona,103,61,40,61,0,0,0,42,70,46,19,14,27,22,2,22,68,22,13,1,1,0,13,54,3,2,2,1,0,0,2
2015-2016, Arkansas,16,9,5,9,0,0,0,7,44,26,0,0,26,24,0,18,49,37,1,13,12,1,4,32,4,4,1,2,0,0,2
2015-2016, Bureau of Indian Education,8,8,8,2,0,0,0,0,6,5,4,3,1,1,1,0,4,4,3,0,0,0,1,3,0,0,0,0,0,0,0
2015-2016, California,894,692,448,692,0,0,0,202,"2,286","2,286","2,107","1,306",179,67,0,0,"6,440",1069,344,111,30,81,3043,"3,286",96,22,11,2,0,24,70
2015-2016, Colorado,27,15,10,13,2,0,0,12,58,33,16,13,17,11,6,19,40,12,6,4,2,2,7,29,7,1,1,0,0,2,5
2015-2016, Connecticut,186,89,64,73,4,11,3,86,366,269,88,63,181,122,43,54,247,69,21,6,0,6,65,176,7,1,1,0,0,2,5
2015-2016, Delaware,15,8,4,6,2,0,0,7,18,13,4,3,9,7,3,2,33,10,5,6,2,4,2,25,6,1,0,1,0,0,5
2015-2016, District of Columbia,26,20,13,15,5,1,0,5,33,21,5,4,16,10,1,11,353,223,31,101,75,26,41,211,34,31,13,8,0,5,21
2015-2016, Federated States of Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016, Florida,196,112,53,98,14,4,0,80,59,38,12,4,26,19,0,21,206,59,47,7,2,5,12,187,8,3,2,0,0,0,8
2015-2016, Georgia,128,95,43,94,1,0,0,33,94,68,19,8,49,25,2,24,141,110,71,0,0,0,13,128,16,14,11,0,0,0,16
2015-2016, Guam,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2015-2016, Hawaii,14,9,4,9,0,1,0,4,1,1,1,0,0,0,0,0,87,78,55,7,0,7,25,55,0,0,0,0,0,0,0
2015-2016, Idaho,19,15,11,15,0,0,0,4,17,12,2,2,10,8,0,5,5,3,1,2,1,1,0,3,3,1,1,0,0,0,3
2015-2016, Illinois,106,53,39,39,12,21,2,32,252,186,118,69,68,51,34,32,252,66,24,8,1,6,82,162,12,8,2,2,1,0,10
2015-2016, Indiana,134,41,27,41,0,0,0,93,71,60,4,3,56,50,0,11,73,53,27,4,2,2,2,67,4,2,2,0,0,0,4
2015-2016, Iowa,12,3,0,1,2,2,0,7,25,17,6,5,11,8,2,6,13,4,3,0,0,0,2,11,0,0,0,0,0,0,0
2015-2016, Kansas,34,20,14,20,0,1,1,13,23,20,4,1,16,13,0,3,12,5,3,3,1,2,1,8,2,0,0,1,1,0,1
2015-2016, Kentucky,12,7,6,5,2,2,1,3,16,15,4,1,11,5,1,0,15,9,4,2,2,0,3,10,1,1,1,1,0,0,0
2015-2016, Louisiana,37,12,6,2,10,1,1,24,10,6,2,0,4,2,0,4,14,11,6,0,0,0,0,14,2,0,0,0,0,0,2
2015-2016, Maine,27,7,2,6,1,1,0,19,79,39,14,9,25,19,1,39,38,0,0,2,2,0,0,36,2,0,0,0,0,0,2
2015-2016, Maryland,155,128,112,108,5,0,0,27,256,114,47,36,67,50,24,118,215,59,32,11,1,10,32,172,1,1,0,0,0,0,1
2015-2016, Massachusetts,579,394,262,394,0,36,10,149,"1,132",703,33,21,670,587,135,294,568,24,10,7,1,6,188,373,10,0,0,0,0,0,10
2015-2016, Michigan,274,200,165,163,35,0,0,74,102,71,11,7,60,51,4,27,69,41,21,3,2,1,10,56,6,5,5,0,0,0,6
2015-2016, Minnesota,139,94,70,86,8,12,0,33,66,32,0,0,32,31,10,24,30,19,2,3,3,0,8,19,2,1,0,0,0,0,2
2015-2016, Mississippi,61,37,25,37,0,0,0,24,15,10,1,1,9,9,0,5,12,7,3,0,0,0,0,12,0,0,0,0,0,0,0
2015-2016, Missouri,64,53,30,53,0,0,0,11,29,21,6,5,15,12,1,7,51,34,18,2,1,1,7,42,0,0,0,0,0,0,0
2015-2016, Montana,7,4,2,3,1,1,0,2,3,3,1,1,2,2,0,0,4,1,0,1,1,0,3,0,0,0,0,0,0,0,0
2015-2016, Nebraska,6,3,2,3,0,1,0,2,3,3,0,0,3,3,0,0,5,2,1,0,0,0,0,5,0,0,0,0,0,0,0
2015-2016, Nevada,10,8,8,6,2,1,0,1,7,5,4,3,1,1,1,1,102,93,67,2,1,1,18,82,6,6,6,0,0,0,6
2015-2016, New Hampshire,35,16,12,16,0,0,0,19,36,33,11,6,22,14,0,3,19,5,5,4,2,2,1,14,1,0,0,0,0,0,1
2015-2016, New Jersey,286,112,56,91,21,16,16,158,898,760,432,114,328,138,1,137,"1,234",22,22,67,58,4,287,880,6,0,0,4,1,0,2
2015-2016, New Mexico,46,26,22,25,1,0,0,20,49,40,24,16,16,13,2,7,31,1,1,2,0,2,1,28,1,1,1,0,0,0,1
2015-2016, New York,216,128,103,123,3,1,0,87,353,212,15,13,197,163,11,130,"5,305","5,036",161,453,54,317,"1,747","3,105",25,19,1,5,3,2,18
2015-2016, North Carolina,100,53,43,36,6,2,1,45,94,65,31,16,34,24,2,27,81,43,21,1,0,1,26,54,4,2,2,0,0,0,4
2015-2016, North Dakota,4,3,1,3,0,0,0,1,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-2016, Northern Marianas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016, Ohio,208,121,91,111,10,1,1,86,185,149,61,36,88,77,2,34,171,70,35,12,8,4,6,153,22,10,6,1,0,0,21
2015-2016, Oklahoma,27,16,8,16,0,0,0,11,8,8,1,1,7,5,0,0,9,9,6,1,1,0,2,6,1,1,1,0,0,0,1
2015-2016, Oregon,45,28,15,25,3,0,0,17,56,37,11,10,26,21,10,9,22,7,1,3,1,2,4,15,0,0,0,0,0,0,0
2015-2016, Pennsylvania,268,134,83,134,0,2,2,132,424,199,9,5,190,153,45,180,783,432,189,52,14,38,125,606,17,6,5,2,0,0,15
2015-2016, Puerto Rico,23,22,15,22,0,0,0,1,768,541,507,476,34,33,0,227,"2,052",505,315,"1,056",607,172,32,964,0,0,0,0,0,0,0
2015-2016, Republic of Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016, Republic of the Marshall Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016, Rhode Island,11,8,6,8,0,0,0,3,57,40,4,3,36,30,0,17,27,12,8,4,1,3,5,18,0,0,0,0,0,0,0
2015-2016, South Carolina,22,18,15,15,0,0,0,4,3,2,1,0,1,1,0,1,11,9,7,0,0,0,0,11,3,2,1,0,0,0,3
2015-2016, South Dakota,8,8,5,8,0,0,0,0,5,2,2,2,0,0,0,3,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0
2015-2016, Tennessee,88,59,25,59,0,9,9,20,27,22,13,11,9,6,3,2,65,43,28,1,0,1,9,55,7,5,4,0,0,0,7
2015-2016, Texas,278,130,63,125,5,6,4,142,360,226,146,115,80,55,90,44,355,142,68,11,1,10,62,282,30,9,7,1,0,2,27
2015-2016, Utah,15,9,4,9,0,6,1,0,11,8,2,2,6,5,0,3,6,2,2,0,0,0,2,4,0,0,0,0,0,0,0
2015-2016, Vermont,3,2,2,2,0,0,0,1,30,30,14,9,16,12,0,0,19,1,1,1,1,0,0,18,0,0,0,0,0,0,0
2015-2016, Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2015-2016, Virginia,146,71,26,53,18,0,0,75,151,113,9,5,104,88,4,34,50,34,21,6,6,0,10,34,4,4,4,0,0,0,4
2015-2016, Washington,97,84,64,83,1,2,1,11,74,40,12,7,28,24,6,28,119,57,19,6,1,5,31,82,12,7,3,1,0,2,9
2015-2016, West Virginia,25,11,8,11,0,0,0,14,11,10,3,3,7,6,0,1,13,6,6,0,0,0,1,12,1,0,0,0,0,0,1
2015-2016, Wisconsin,79,57,37,54,3,5,2,17,120,88,11,8,77,68,0,32,20,9,4,1,0,1,0,19,2,1,1,0,0,0,2
2015-2016, Wyoming,14,6,3,6,0,2,0,6,6,5,1,1,4,3,0,1,4,1,1,0,0,0,1,3,0,0,0,0,0,0,0
2015-2016,"US, Outlying Areas, and Freely Associated States",5351,3329,2187,3094,178,148,55,1874,9025,6822,3876,2464,2946,2183,482,1721,19727,8670,1774,1990,899,726,5966,11771,370,173,96,32,6,39,299
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -  Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Data suppressed for data quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
